epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,22971.6,0.50036,0.44977,0.8384,0.74456,0.63646,0.69703,0.58351,0.51538,0.58696,0.8492,4.18146e-05,4.18146e-05,4.18146e-05
42,23434.4,0.49427,0.43898,0.83512,0.77229,0.61858,0.69799,0.57963,0.51441,0.58344,0.84841,3.48231e-05,3.48231e-05,3.48231e-05
43,23891.6,0.49052,0.43593,0.83361,0.71973,0.68909,0.70726,0.58763,0.51346,0.58499,0.84857,2.84913e-05,2.84913e-05,2.84913e-05
44,24331.8,0.48831,0.43274,0.83317,0.76757,0.64761,0.71287,0.59435,0.51298,0.59072,0.84841,2.28442e-05,2.28442e-05,2.28442e-05
45,24921.6,0.48729,0.42993,0.8325,0.69902,0.66754,0.70937,0.59071,0.51162,0.58711,0.84823,1.79043e-05,1.79043e-05,1.79043e-05
46,25506.6,0.48365,0.42656,0.83129,0.75281,0.65312,0.70623,0.58682,0.51105,0.58626,0.84856,1.36908e-05,1.36908e-05,1.36908e-05
47,26091.3,0.48151,0.42462,0.83006,0.72873,0.67439,0.70279,0.58846,0.51075,0.58919,0.84828,1.02205e-05,1.02205e-05,1.02205e-05
48,26661.9,0.48125,0.41922,0.83153,0.65641,0.68998,0.70181,0.58639,0.51061,0.58944,0.84793,7.50712e-06,7.50712e-06,7.50712e-06
49,27239.1,0.48051,0.41956,0.83062,0.71885,0.67001,0.69955,0.58477,0.5107,0.59137,0.84808,5.56129e-06,5.56129e-06,5.56129e-06
50,27785.1,0.48095,0.42021,0.83095,0.67138,0.68074,0.7004,0.58466,0.51087,0.59302,0.84822,4.39071e-06,4.39071e-06,4.39071e-06
